date,areaname,count
w/c 2020-04-20,Midlothian,15
w/c 2020-04-20,Inverclyde,17
w/c 2020-04-20,North Ayrshire,11
w/c 2020-04-20,Moray,2
w/c 2020-04-27,Na h-Eileanan Siar,0
w/c 2020-04-27,Inverclyde,6
w/c 2020-04-27,East Renfrewshire,10
w/c 2020-04-27,Highland,3
w/c 2020-04-27,Falkirk,16
w/c 2020-04-27,Clackmannanshire,11
w/c 2020-04-27,East Lothian,5
w/c 2020-04-27,Dumfries and Galloway,6
w/c 2020-04-27,East Ayrshire,10
w/c 2020-04-27,West Lothian,6
w/c 2020-04-27,West Dunbartonshire,17
w/c 2020-04-27,Angus,7
w/c 2020-04-27,City of Edinburgh,61
w/c 2020-04-27,Argyll and Bute,13
w/c 2020-04-27,Renfrewshire,33
w/c 2020-04-27,Glasgow City,84
w/c 2020-04-27,Perth and Kinross,5
w/c 2020-04-27,North Lanarkshire,37
w/c 2020-04-27,East Dunbartonshire,20
w/c 2020-04-27,Dundee City,22
w/c 2020-04-27,Fife,25
w/c 2020-04-27,Scottish Borders,4
w/c 2020-04-27,Orkney Islands,0
w/c 2020-04-27,Shetland Islands,1
w/c 2020-04-27,Moray,2
w/c 2020-04-27,Midlothian,27
w/c 2020-04-27,North Ayrshire,13
w/c 2020-04-27,Aberdeen City,15
w/c 2020-04-27,Stirling,5
w/c 2020-04-27,Aberdeenshire,13
w/c 2020-04-27,South Ayrshire,12
w/c 2020-04-27,South Lanarkshire,37
w/c 2020-05-04,Falkirk,17
w/c 2020-05-04,Na h-Eileanan Siar,0
w/c 2020-05-04,Midlothian,18
w/c 2020-05-04,Moray,2
w/c 2020-05-04,Highland,6
w/c 2020-05-04,Inverclyde,4
w/c 2020-05-04,Clackmannanshire,9
w/c 2020-05-04,East Lothian,7
w/c 2020-05-04,East Renfrewshire,20
w/c 2020-05-04,Dumfries and Galloway,6
w/c 2020-05-04,East Ayrshire,12
w/c 2020-05-04,Angus,5
w/c 2020-05-04,West Lothian,13
w/c 2020-05-04,Dundee City,17
w/c 2020-05-04,Renfrewshire,11
w/c 2020-05-04,City of Edinburgh,43
w/c 2020-05-04,West Dunbartonshire,11
w/c 2020-05-04,Glasgow City,58
w/c 2020-05-04,Perth and Kinross,11
