Date,HB,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200306,S08000015,0,1,0.270738574832142,0.00970873786407767,0,0,0,102,27.6153346328785
20200306,S08000016,0,0,0,0,0,0,0,44,38.0919400917669
20200306,S08000017,0,0,0,0,0,0,0,87,58.4441757355905
20200306,S08000019,0,3,0.978345943125489,0.0185185185185185,0,0,0,159,51.8523349856509
20200306,S08000020,0,4,0.682943486426498,0.0266666666666667,0,0,0,146,24.9274372545672
20200306,S08000022,0,0,0,0,0,0,0,78,24.2461921044451
20200306,S08000024,2,3,0.330549373058022,0.00753768844221105,0,0,0,395,43.5223341193063
20200306,S08000025,0,0,0,0,0,0,0,9,40.4131118096093
20200306,S08000026,2,2,8.7260034904014,0.5,0,0,0,2,8.7260034904014
20200306,S08000028,0,0,0,0,0,0,0,4,14.9700598802395
20200306,S08000029,0,2,0.535403560433677,0.0173913043478261,0,0,0,113,30.2503011645027
20200306,S08000030,0,1,0.239538170407454,0.0062111801242236,0,0,0,160,38.3261072651927
20200306,S08000031,1,3,0.253566840219082,0.00566037735849057,0,0,0,527,44.5432415984854
20200306,S08000032,1,2,0.302160447197462,0.00966183574879227,0,0,0,205,30.9714458377398
20200307,S08000015,1,2,0.541477149664284,0.0178571428571429,0,0,0,110,29.7812432315356
20200307,S08000016,0,0,0,0,0,0,0,46,39.82339191412
20200307,S08000017,0,0,0,0,0,0,0,94,63.1465806798334
20200307,S08000019,0,3,0.978345943125489,0.0173410404624277,0,0,0,170,55.4396034437777
20200307,S08000020,2,6,1.02441522963975,0.037037037037037,0,0,0,156,26.6347959706334
20200307,S08000022,0,0,0,0,0,0,0,84,26.1112838047871
20200307,S08000024,2,5,0.550915621763371,0.011441647597254,0,0,0,432,47.5991097203552
20200307,S08000025,0,0,0,0,0,0,0,9,40.4131118096093
20200307,S08000026,0,2,8.7260034904014,0.333333333333333,0,0,0,4,17.4520069808028
20200307,S08000028,0,0,0,0,0,0,0,4,14.9700598802395
20200307,S08000029,0,2,0.535403560433677,0.0168067226890756,0,0,0,117,31.3211082853701
20200307,S08000030,0,1,0.239538170407454,0.00613496932515337,0,0,0,162,38.8051836060076
20200307,S08000031,0,3,0.253566840219082,0.00535714285714286,0,0,0,557,47.0789100006762
20200307,S08000032,1,3,0.453240670796193,0.0131004366812227,0,0,0,226,34.1441305333132
20200308,S08000015,0,2,0.541477149664284,0.0165289256198347,0,0,0,119,32.2178904050249
20200308,S08000016,0,0,0,0,0,0,0,51,44.1520214700026
20200308,S08000017,0,0,0,0,0,0,0,100,67.1772134891845
20200308,S08000019,0,3,0.978345943125489,0.0157894736842105,0,0,0,187,60.9835637881555
20200308,S08000020,1,7,1.19515110124637,0.0419161676646707,0,0,0,160,27.3177394570599
20200308,S08000022,0,0,0,0,0,0,0,91,28.2872241218527
20200308,S08000024,2,7,0.771281870468719,0.0150862068965517,0,0,0,457,50.3536878291721
20200308,S08000025,0,0,0,0,0,0,0,9,40.4131118096093
20200308,S08000026,0,2,8.7260034904014,0.285714285714286,0,0,0,5,21.8150087260035
20200308,S08000028,0,0,0,0,0,0,0,5,18.7125748502994
20200308,S08000029,0,2,0.535403560433677,0.0165289256198347,0,0,0,119,31.8565118458038
20200308,S08000030,0,1,0.239538170407454,0.00613496932515337,0,0,0,162,38.8051836060076
20200308,S08000031,0,3,0.253566840219082,0.005,0,0,0,597,50.4598012035973
20200308,S08000032,0,3,0.453240670796193,0.0125523012552301,0,0,0,236,35.6549327693005
20200309,S08000015,1,3,0.812215724496426,0.0208333333333333,0,0,0,141,38.174139051332
20200309,S08000016,1,1,0.865725911176522,0.015625,0,0,0,63,54.5407324041209
20200309,S08000017,0,0,0,0,0,0,0,117,78.5973397823458
20200309,S08000019,2,5,1.63057657187582,0.0241545893719807,0,0,0,202,65.8752935037829
20200309,S08000020,0,7,1.19515110124637,0.0395480225988701,0,0,0,170,29.0250981731262
20200309,S08000022,0,0,0,0,0,0,0,99,30.7740130556419
20200309,S08000024,3,10,1.10183124352674,0.0174216027874564,0,0,0,564,62.1432821349082
20200309,S08000025,0,0,0,0,0,0,0,10,44.9034575662326
20200309,S08000026,4,6,26.1780104712042,0.4,0,0,0,9,39.2670157068063
20200309,S08000028,0,0,0,0,0,0,0,5,18.7125748502994
20200309,S08000029,1,3,0.803105340650515,0.0236220472440945,0,0,0,124,33.195020746888
