Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CumulativePositivePercent,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200302,S12000014,Falkirk,0,0,0,0,0,0,0,38,23.6186214183604
20200302,S12000017,Highland,0,0,0,0,0,0,0,36,15.2652334308612
20200302,S12000018,Inverclyde,0,0,0,0,0,0,0,15,19.280205655527
20200302,S12000019,Midlothian,0,0,0,0,0,0,0,21,22.7125243348475
20200302,S12000020,Moray,0,1,1.0436234606554,0.0714285714285714,0,0,0,13,13.5671049885201
20200302,S12000021,North Ayrshire,1,1,0.742170105388155,0.0416666666666667,0,0,0,23,17.0699124239276
20200302,S12000023,Orkney Islands,0,0,0,0,0,0,0,7,31.4324202963628
20200302,S12000026,Scottish Borders,0,0,0,0,0,0,0,33,28.5689550688252
20200302,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0
20200302,S12000028,South Ayrshire,0,0,0,0,0,0,0,8,7.10416481662375
20200302,S12000029,South Lanarkshire,0,0,0,0,0,0,0,52,16.2231304402084
20200302,S12000030,Stirling,0,0,0,0,0,0,0,34,36.0895870926653
20200302,S12000033,Aberdeen City,0,0,0,0,0,0,0,52,22.740193291643
20200302,S12000034,Aberdeenshire,0,0,0,0,0,0,0,45,17.227518088894
20200302,S12000035,Argyll & Bute,0,0,0,0,0,0,0,4,4.6582042622569
20200302,S12000036,City of Edinburgh,0,0,0,0,0,0,0,172,32.7662735983846
20200302,S12000038,Renfrewshire,0,0,0,0,0,0,0,35,19.5421552205472
20200302,S12000039,West Dunbartonshire,0,0,0,0,0,0,0,14,15.742718992466
20200302,S12000040,West Lothian,0,0,0,0,0,0,0,36,19.6613872200983
20200302,S12000041,Angus,0,1,0.860585197934596,0.0285714285714286,0,0,0,34,29.2598967297762
20200302,S12000042,Dundee City,0,0,0,0,0,0,0,24,16.07286364854
20200302,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,21,19.3298969072165
20200302,S12000047,Fife,0,0,0,0,0,0,0,85,22.7546513184313
20200302,S12000048,Perth & Kinross,0,0,0,0,0,0,0,29,19.0852254030931
20200302,S12000049,Glasgow City,0,0,0,0,0,0,0,131,20.6911801870104
20200302,S12000050,North Lanarkshire,0,0,0,0,0,0,0,49,14.3539268242669
20200303,S12000005,Clackmannanshire,1,2,3.88048117966628,0.0909090909090909,0,0,0,20,38.8048117966628
20200303,S12000006,Dumfries & Galloway,0,0,0,0,0,0,0,54,36.2756952841596
20200303,S12000008,East Ayrshire,0,0,0,0,0,0,0,21,17.2117039586919
