date,areaname,count
2020-03-25,Forth Valley,59
2020-03-25,Borders,15
2020-03-25,Dumfries and Galloway,31
2020-03-25,Tayside,57
2020-03-25,Lanarkshire,87
2020-03-26,Ayrshire and Arran,74
2020-03-26,Borders,23
2020-03-26,Lothian,111
2020-03-26,Western Isles,*
2020-03-26,Grampian,31
2020-03-26,Highland,29
2020-03-26,Shetland,24
2020-03-26,Forth Valley,75
2020-03-26,Greater Glasgow and Clyde,258
2020-03-26,Dumfries and Galloway,39
2020-03-26,Tayside,76
2020-03-26,Lanarkshire,114
2020-03-26,Orkney,*
2020-03-26,Fife,40
2020-03-27,Dumfries and Galloway,47
2020-03-27,Borders,28
2020-03-27,Tayside,107
2020-03-27,Greater Glasgow and Clyde,299
2020-03-27,Lothian,139
2020-03-27,Shetland,24
2020-03-27,Highland,33
2020-03-27,Forth Valley,81
2020-03-27,Orkney,*
2020-03-27,Western Isles,*
2020-03-27,Ayrshire and Arran,75
2020-03-27,Lanarkshire,140
2020-03-27,Grampian,45
2020-03-27,Fife,41
2020-03-28,Ayrshire and Arran,90
2020-03-28,Grampian,52
2020-03-28,Highland,36
2020-03-28,Lanarkshire,165
2020-03-28,Forth Valley,94
2020-03-28,Fife,51
2020-03-28,Orkney,*
2020-03-28,Shetland,27
2020-03-28,Greater Glasgow and Clyde,376
2020-03-28,Dumfries and Galloway,60
2020-03-28,Tayside,127
2020-03-28,Western Isles,*
2020-03-28,Borders,35
2020-03-28,Lothian,151
2020-03-29,Fife,58
2020-03-29,Borders,50
2020-03-29,Lanarkshire,184
2020-03-29,Forth Valley,94
2020-03-29,Western Isles,*
2020-03-29,Orkney,*
2020-03-29,Greater Glasgow and Clyde,401
2020-03-29,Dumfries and Galloway,63
2020-03-29,Shetland,27
2020-03-29,Ayrshire and Arran,108
2020-03-29,Lothian,188
2020-03-29,Highland,41
2020-03-29,Grampian,62
2020-03-29,Tayside,141
2020-03-30,Highland,44
2020-03-30,Lanarkshire,197
2020-03-30,Fife,70
2020-03-30,Tayside,177
2020-03-30,Shetland,27
2020-03-30,Dumfries and Galloway,74
2020-03-30,Greater Glasgow and Clyde,449
2020-03-30,Ayrshire and Arran,154
2020-03-30,Orkney,*
2020-03-30,Borders,63
2020-03-30,Western Isles,*
2020-03-30,Grampian,66
2020-03-30,Forth Valley,103
2020-03-30,Lothian,208
2020-03-31,Lothian,269
2020-03-31,Orkney,*
2020-03-31,Forth Valley,131
2020-03-31,Greater Glasgow and Clyde,547
2020-03-31,Grampian,86
2020-03-31,Dumfries and Galloway,92
2020-03-31,Lanarkshire,244
2020-03-31,Shetland,29
2020-03-31,Fife,76
2020-03-31,Tayside,214
2020-03-31,Ayrshire and Arran,177
2020-03-31,Highland,51
2020-03-31,Western Isles,*
2020-03-31,Borders,77
2020-04-01,Shetland,30
2020-04-01,Borders,87
2020-04-01,Dumfries and Galloway,100
2020-04-01,Lanarkshire,284
2020-04-01,Ayrshire and Arran,199
2020-04-01,Greater Glasgow and Clyde,632
2020-04-01,Tayside,254
2020-04-01,Grampian,108
2020-04-01,Fife,96
2020-04-01,Lothian,311
2020-04-01,Forth Valley,146
2020-04-01,Highland,58
2020-04-01,Orkney,*
2020-04-01,Western Isles,*
2020-04-02,Highland,65
2020-04-02,Grampian,128
2020-04-02,Western Isles,*
2020-04-02,Greater Glasgow and Clyde,682
2020-04-02,Ayrshire and Arran,221
2020-04-02,Tayside,307
2020-04-02,Borders,93
2020-04-02,Orkney,*
2020-04-02,Shetland,30
2020-04-02,Lanarkshire,320
2020-04-02,Forth Valley,172
2020-04-02,Dumfries and Galloway,104
2020-04-02,Fife,119
2020-04-02,Lothian,356
2020-04-03,Borders,100
2020-04-03,Greater Glasgow and Clyde,779
2020-04-03,Fife,147
2020-04-03,Lothian,408
2020-04-03,Highland,72
2020-04-03,Tayside,353
