Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF
20200307,S08000016,NHS Borders,0,0,0,0,0,0,0,2,45,38.957666,2,0,0,0,2,0,,:,,:
20200307,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,7,92,61.80303641,7,0,0,0,7,0,,:,,:
20200307,S08000019,NHS Forth Valley,0,3,0.978345943,0.978345943,0,0,0,11,168,54.78737282,25,2,8,6.0606061,25,0,,:,,:
20200307,S08000020,NHS Grampian,2,6,1.02441523,1.02441523,0,0,0,9,152,25.95185248,15,3,20,11.3636364,15,0,,:,,:
20200307,S08000022,NHS Highland,0,0,0,0,0,0,0,6,83,25.80043519,6,0,0,0,6,0,,:,,:
20200307,S08000024,NHS Lothian,2,5,0.550915622,0.550915622,0,0,0,35,420,46.27691223,48,4,8.3333333,3.3457249,48,0,,:,,:
20200307,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,7,31.4324203,0,0,0,0,0,0,,:,,:
20200307,S08000026,NHS Shetland,0,2,8.72600349,8.72600349,0,0,0,2,4,17.45200698,2,0,0,28.571428599999997,2,0,,:,,:
20200307,S08000028,NHS Western Isles,0,0,0,0,0,0,0,0,3,11.22754491,0,0,0,0,0,0,,:,,:
20200307,S08000029,NHS Fife,0,2,0.53540356,0.53540356,0,0,0,4,116,31.05340651,16,1,6.25,5.7142857,16,0,,:,,:
20200307,S08000030,NHS Tayside,0,1,0.23953817,0,0,0,0,2,161,38.56564544,9,0,0,4.9689441,9,0,,:,,:
20200307,S08000031,NHS Greater Glasgow & Clyde,0,4,0.33808912,0.25356684,0,0,0,29,552,46.6562986,45,3,6.6666666999999995,1.5717092,45,0,,:,,:
20200307,S08000032,NHS Lanarkshire,1,3,0.453240671,0.453240671,0,0,0,21,224,33.84197009,27,3,11.1111111,2.5641026,27,0,,:,,:
20200307,S92000003,Scotland,6,28,0.512510754,0.475902843,0,0,0,136,2134,39.060641,217,17,7.8341014,3.4604106000000003,217,0,10,"",,:
20200308,S08000015,NHS Ayrshire & Arran,0,2,0.54147715,0.54147715,0,0,0,9,116,31.40567468,10,0,0,3.030303,10,0,,:,,:
